"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"297","No checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"298","No checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown / no savings account","more than 7 years",4,"male (single)","co-Applicant",2,"building society savings agreement/ life insurance",45,"none","own",1,"unskilled - resident",1,"none","No","good"
"299","No checking account",18,"existing credits paid back duly till now","furniture/equipment",2515,"less than 100","1 to 4 years",3,"male (single)","none",4,"real estate",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"300","0 - 200",21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2745,"more than 1000","4 to 7 years",3,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"301","No checking account",6,"existing credits paid back duly till now","car (new)",672,"less than 100","Unemployed",1,"female (divorced/separated/married)","none",4,"real estate",54,"none","own",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good"
"302","0 - 200",36,"no credits taken / all credits paid back duly","radio/television",3804,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"car or other",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"303","Over 200",24,"critical account/ other credits existing (not at this bank)","car (new)",1344,"unknown / no savings account","4 to 7 years",4,"male (single)","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none","Yes","bad"
"304","Negative",10,"critical account/ other credits existing (not at this bank)","car (new)",1038,"less than 100","4 to 7 years",4,"male (single)","co-Applicant",3,"building society savings agreement/ life insurance",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"305","No checking account",48,"critical account/ other credits existing (not at this bank)","car (new)",10127,"500 to 1000","1 to 4 years",2,"male (single)","none",2,"unknown / no property",44,"bank","for free",1,"skilled employee / official",1,"none","Yes","bad"
"306","No checking account",6,"existing credits paid back duly till now","furniture/equipment",1543,"more than 1000","1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"307","No checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown / no savings account","4 to 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"stores","rent",1,"unskilled - resident",1,"none","Yes","good"
"308","Negative",12,"existing credits paid back duly till now","radio/television",727,"100 to 500","less than 1 year",4,"male (married/widowed)","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
"309","0 - 200",8,"existing credits paid back duly till now","furniture/equipment",1237,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",4,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"310","0 - 200",9,"existing credits paid back duly till now","car (new)",276,"less than 100","1 to 4 years",4,"male (married/widowed)","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"311","0 - 200",48,"existing credits paid back duly till now","others",5381,"unknown / no savings account","Unemployed",3,"male (single)","none",4,"unknown / no property",40,"bank","for free",1,"unemployed / unskilled - non-resident",1,"yes, registered under the customers name","Yes","good"
"312","No checking account",24,"existing credits paid back duly till now","furniture/equipment",5511,"100 to 500","1 to 4 years",4,"male (single)","none",1,"car or other",25,"stores","own",1,"skilled employee / official",1,"none","Yes","good"
"313","Over 200",24,"existing credits paid back duly till now","furniture/equipment",3749,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"car or other",26,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"314","0 - 200",12,"existing credits paid back duly till now","car (new)",685,"less than 100","4 to 7 years",2,"male (married/widowed)","none",3,"car or other",25,"bank","own",1,"unskilled - resident",1,"none","Yes","bad"
"315","Over 200",4,"existing credits paid back duly till now","car (new)",1494,"unknown / no savings account","less than 1 year",1,"male (single)","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none","No","good"
"316","Negative",36,"all credits at this bank paid back duly","furniture/equipment",2746,"less than 100","more than 7 years",4,"male (single)","none",4,"car or other",31,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"317","Negative",12,"existing credits paid back duly till now","furniture/equipment",708,"less than 100","1 to 4 years",2,"male (single)","guarantor",3,"building society savings agreement/ life insurance",38,"none","own",1,"unskilled - resident",2,"none","Yes","good"
"318","0 - 200",24,"existing credits paid back duly till now","furniture/equipment",4351,"unknown / no savings account","1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"319","No checking account",12,"critical account/ other credits existing (not at this bank)","education",701,"less than 100","1 to 4 years",4,"male (single)","none",2,"car or other",32,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"320","Negative",15,"delay in paying off in the past","furniture/equipment",3643,"less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"321","0 - 200",30,"critical account/ other credits existing (not at this bank)","car (new)",4249,"less than 100","Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
"322","Negative",24,"existing credits paid back duly till now","radio/television",1938,"less than 100","less than 1 year",4,"male (divorced/separated)","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"323","Negative",24,"existing credits paid back duly till now","car (used)",2910,"less than 100","4 to 7 years",2,"male (single)","none",1,"unknown / no property",34,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"324","Negative",18,"existing credits paid back duly till now","furniture/equipment",2659,"more than 1000","1 to 4 years",4,"male (single)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"325","No checking account",18,"critical account/ other credits existing (not at this bank)","car (new)",1028,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",3,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"326","Negative",8,"critical account/ other credits existing (not at this bank)","car (new)",3398,"less than 100","4 to 7 years",1,"male (single)","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none","No","good"
"327","No checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",5801,"unknown / no savings account","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",49,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"328","No checking account",24,"existing credits paid back duly till now","car (new)",1525,"more than 1000","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"329","Over 200",36,"existing credits paid back duly till now","radio/television",4473,"less than 100","more than 7 years",4,"male (single)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"none","Yes","good"
